Conference,Organization,Where,From,To,Author,Title,Role,,,
Plant Traits 2.0,SBI,"Bologna, Italy",09-02-2017,10-02-2017,"Di Musciano M., Stanisci A., Frate L., Di Cecco V., Di Martino L., Frattaroli A.R.","The importance of dispersal traits in mountain environment to predict changes in plant species distribution under climate warming, the case study on central Apennines GLORIA summits.",Speaker,,,
53rd Annual Symposium of the Italian Assosiation of Vegetation Science,SISV,"Sassari, Italy",30-05-2019,31-05-2019,"Di Musciano M., Di Cecco V., Ricci L., Di Martino L., Frattaroli A.R.","Dispersal ability of European vascular flora, relationship with altitudinal distribution and life-history categories.",Speaker,,,
Workshop RIBES: contribution towards the 2020 Global Strategy for Plant Conservation targets,RIBES,"Galbiate (Parco Monte Barro), Italy",16-04-2019,17-04-2019,"Di Cecco V., Di Musciano M., D’Archivio A., Frattaroli A.R., Di Santo M., Di Martino L. ",Ecoseeds – New tools for germination analysis,Speaker,,,
28th Meeting of the European Vegetation Survey,EVS,"Madrid, Spain",02-09-2019,06-09-2019,"Di Musciano M., Theurillat J.P., Guisan A., Bronnimann O., Cutini M., Iocchi M., Frattaroli A.R.",Modelling vegetation composition and plant richness across spatial scales and environmental gradients in Central Apennines mountains.,Speaker,,,
115th Annual Symposium of the Italian Botanical Society,SBI,Virtual Meeting,09-09-2020,11-09-2020,"Di Musciano M., Theurillat J.P., Cutini M., Iocchi M., Frattaroli A.R.",Soil Temperature and its related variables shape species richness dynamic along an altitudinal gradient in the Central Apennines (Italy).,Speaker,,,
116th Annual Symposium of the Italian Botanical Society,SBI,Virtual Meeting,08-09-2021,10-09-2021,"Di Musciano M., De Simone W., Di Cecco V., Ferella G., Frattaroli A.R.",Monitoring vegetation dynamics after wildfire events in Mediterranean mountain using satellite data.,Speaker,,,
54th Annual Symposium of the Italian Assosiation of Vegetation Science,SISV,Virtual Meeting,27-09-2021,29-09-2021,"Di Musciano M., Theurillat J. P., Cutini M., Iocchi M., Ricci L., Zannini P., Chiarucci A., Frattaroli A.R.",Pattern and drivers of plant beta diversity along an elevational gradient of Central Apennines (Italy).,Speaker,,,
55th Annual Symposium of the Italian Assosiation of Vegetation Science,SISV,"L’Aquila, Italy",16-06-2022,17-06-2022,"Di Musciano M., Calvia G., Ruggero A., Farris E., Frattaroli A.R., Bagella S.",Elevation patterns of species richness on the Mediterranean island using a published flora.,Speaker,Member of the Scientific Committee,Member of the Organizing Committee,Secretary of the Conference
Microclimate Ecology & Biogeography Conference,MEB,"Antwerp, Belgium",29-08-2022,01-09-2022,"Di Musciano M., Ricci L., Theurillat J.P., Cutini M., Iocchi M., Frattaroli A.R.",Soil Temperature and its related variables shape species richness dynamic along an altitudinal gradient in the Central Apennines (Italy).,Speaker,,,
2nd Conference of Young Botanists,CYBO,"Bozen, Italy",09-02-2023,10-02-2023,Di Musciano M.,,Member of the Scientific Committee,Chair,,
65th Annual Symposium of the International Association for Vegetation Science,IAVS,"Coffs Habour, Australia",03-09-2023,08-09-2023,"Di Musciano M., Ricci L., Theurillat J.P., Cutini M., Iocchi M., Frattaroli A.R.",Soil Temperature and microtopography shape plant communities dynamic along altitudinal gradients.,Speaker,,,
4th International Conference on Community Ecology,ComEc,"Trieste, Italy",20-09-2023,22-09-2023,"Di Musciano M., Ricci L., Theurillat J.P., Cutini M., Iocchi M., Frattaroli A.R.",Dynamics of mountain vegetation under global change: the microclimate role.,Speaker,,,
4th Mediterranean Plant Conservation Week,MPCW,"Valencia, Spain",23-10-2023,27-10-2023,"Di Musciano M., Ricci L., Alessi N., Sabatini F.M., Chiarucci A., Frattaroli A.R., Di Martino L., Di Cecco V., Geldmann J.",Effectiveness of protected areas on Italian forest in the Mediterranean biogeographical region.,Speaker,,,
Orchids and tourism in the Maiella National Park,MNP,"Palena, Italy",17-05-2024,18-05-2024,Di Musciano M.,Protected Areas and Biodiversity Conservation: Challenges and Opportunities in a Changing World,Invited speaker,,,
7th European Congress of Conservation Biology: Biodiversity positive by 2030,ECCB,"Bologna, Italy",17-06-2024,21-06-2024,"Di Musciano M., Ricci L., Sabatini F.M., Geldmann J., Frattaroli A.R., Chiarucci A.",Conservation gaps of Natura 2000 (N2K) network in preserving European Habitat: an accurate prioritization is needed.,Speaker,,,
119th Annual Symposium of the Italian Botanical Society,SBI,"Teramo, Italy",11-09-2024,13-09-2024,"Di Musciano M., Ricci L., Sabatini F.M., Geldmann J., Frattaroli A.R., Chiarucci A.",Habitats or not Habitats that’s the question: what European report provides (or not) to assess conservation gaps in European Habitats?,Speaker,,,
